name,location,introduce,field,pagenumber
컬리,서울 강남구 도산대로16길 20 (논현동) ,맛있는 음식이 삶의 가장 큰 즐거움이라 믿는 사람들이 뜻을 합쳐 시작한 식자재 배송서비스,"(e)커머스,푸드",1
비바리퍼블리카,"서울 강남구 테헤란로 142 (역삼동, 캐피탈타워) 12층","금융을 쉽고 간편하게.
  토스팀은 불편하고 복잡한 금융의 문제를 해결하기 위해 모였습니다. 어렵고 불편하고, 멀게 느껴지는 금융이 아닌 누구에게나 가깝고 상식적인 금융, 최고의 사용 경험을 제공하는 서비스를 만들어 갑니다.","금융/보험/핀테크,통신/보안/데이터/인프라",3
우아한형제들,"서울 송파구 위례성대로 2 (방이동, 장은빌딩) ","우아한형제들은 배달음식을 '""사랑하는 사람과 나누는 행복한 시간'""이라고 정의 내립니다. 우아한형제들에게 배달음식이란 혼자 끼니를 때우기 위해 먹는 음식이 아니라 가족이나 주위 사람들과 즐겁게 먹은 음식 혹은 체험이기 때문입","(e)커머스,푸드",4
테크앤로벤처스(법무법인린),서울특별시 중구 세종대로 136 서울파이낸스센터 4층 ,"코리아스타트업포럼 이사(운영위원)/법률특허지원단장, 4차산업혁명위원회 사회제도혁신위원, 제주 4차산업혁명위원회 위원",교육,5
스마투스, ,"직장인을 위한 외국어(영어,중국어) 회화","교육,콘텐츠",6
시지온,"서울 중구 을지로5길 19 (수하동, FERRUM TOWER) 24층 시지온","저희는 소셜댓글 '""라이브리'""와 인스타그램커머스플랫폼 '""어트랙트'""라는 서비스를 운영하고 있는 시지온입니다.","소셜/미디어/커뮤니티,환경/에너지",7
보맵,"서울 서초구 강남대로 311 (서초동, 한화생명보험빌딩) 8층",신뢰를 기반으로 보험시장 혁신을 꿈꾸는 인슈어테크 리딩컴퍼니 보맵입니다,금융/보험/핀테크,8
홈스토리생활,"서울 강남구 봉은사로30길 64 (역삼동, 해석빌딩) 2층","일손, 일감 매칭 플랫폼! 홈서비스 O2O플랫폼! 가사~ 하면 '""대리주부'""!",리빙/라이프스타일,9
스타트업얼라이언스,서울 강남구 테헤란로 ,(사)스타트업얼라이언스는 한국 스타트업 생태계를 활성화하고 한국 스타트업의 해외진출을 지원하기 위한 민관협력네트워크입니다. 스타트업얼라이언스는 스타트업 창업자들과 스타트업 생태계의 주요 구성원을 효율적으로 연결함으로써 생,"교육,스타트업 생태계",10
하이브,"서울 용산구 한강대로 42 (한강로3가, 용산트레이드센터) ","빅히트 엔터테인먼트는 “Music & Artist for Healing, 음악과 아티스트를 통해 사람들에게 위로와 감동을 준다” 라는 미션 아래 음악 산업의 비즈니스 모델을 혁신하는 기업입니다. 빅히트는 음악을 사랑하는","콘텐츠,소셜/미디어/커뮤니티",11
